species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Tarenaya aculeata,Tarenaya,Cleomaceae,,,yes,yes,Tarenaya aculeata (L.) Soares Neto & Roalson,Tarenaya aculeata,(L.) Soares Neto & Roalson,Cleomaceae,Tarenaya,NA,NA,NA,Tarenaya aculeata,Tarenaya aculeata,Tarenaya_aculeata,Tarenaya_aculeata,Angiosperms
Tectona grandis,Tectona,Lamiaceae,,,yes,yes,Tectona grandis L.f.,Tectona grandis,L.f.,Lamiaceae,Tectona,Lamiaceae,Tectona,Accepted,Tectona grandis,Tectona grandis L.f.,Tectona_grandis,Tectona_grandis,Angiosperms
Themeda arguens,Themeda,Poaceae,,,yes,yes,Themeda arguens (L.) Hack.,Themeda arguens,(L.) Hack.,Poaceae,Themeda,Poaceae,Themeda,Accepted,Themeda arguens,Themeda arguens (L.) Hack.,Themeda_arguens,Themeda_arguens,Angiosperms
Thespesia lampas,Thespesia,Malvaceae,,,yes,yes,Thespesia lampas (Cav.) Dalzell & A.Gibson,Thespesia lampas,(Cav.) Dalzell & A.Gibson,Malvaceae,Thespesia,Malvaceae,Thespesia,Accepted,Thespesia lampas,Thespesia lampas (Cav.) Dalzell,Thespesia_lampas,Thespesia_lampas,Angiosperms
Thespesia populnea,Thespesia,Malvaceae,,,yes,yes,Thespesia populnea (L.) Sol. ex Corr<a8><ba>a,Thespesia populnea,(L.) Sol. ex Corr<a8><ba>a,Malvaceae,Thespesia,Malvaceae,Thespesia,Accepted,Thespesia populnea,Thespesia populnea (L.) Sol. ex Corrêa,Thespesia_populnea,Thespesia_populnea,Angiosperms
Thunbergia grandiflora,Thunbergia,Acanthaceae,,,yes,yes,Thunbergia grandiflora (Roxb. ex Rottler) Roxb.,Thunbergia grandiflora,(Roxb. ex Rottler) Roxb.,Acanthaceae,Thunbergia,Acanthaceae,Thunbergia,Accepted,Thunbergia grandiflora,Thunbergia grandiflora (Roxb. ex Rottl.) Roxb.,Thunbergia_grandiflora,Thunbergia_grandiflora,Angiosperms
Typha latifolia,Typha,Typhaceae,,,yes,yes,Typha latifolia L.,Typha latifolia,L.,Typhaceae,Typha,Typhaceae,Typha,Accepted,Typha latifolia,Typha latifolia L.,Typha_latifolia,Typha_latifolia,Angiosperms
Utricularia aurea,Utricularia,Lentibulariaceae,,,yes,yes,Utricularia aurea Lour.,Utricularia aurea,Lour.,Lentibulariaceae,Utricularia,Lentibulariaceae,Utricularia,Accepted,Utricularia aurea,Utricularia aurea Lour.,Utricularia_aurea,Utricularia_aurea,Angiosperms
Vachellia nilotica,Vachellia,Fabaceae,,,yes,yes,Vachellia nilotica (L.) P.J.H.Hurter & Mabb.,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,Fabaceae,Vachellia,Leguminosae,Vachellia,Accepted,Vachellia nilotica,Vachellia nilotica (L.) P.J.H. Hurter & Mabb.,Vachellia_nilotica,Vachellia_nilotica,Angiosperms
Zapoteca portoricensis,Zapoteca,Fabaceae,,,yes,yes,Zapoteca portoricensis (Jacq.) H.M.Hern.,Zapoteca portoricensis,(Jacq.) H.M.Hern.,Fabaceae,Zapoteca,Leguminosae,Zapoteca,Accepted,Zapoteca portoricensis,Zapoteca portoricensis (Jacq.) H.M.Hern.,Zapoteca_portoricensis,Zapoteca_portoricensis,Angiosperms
