species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Sicyos angulatus,Sicyos,Cucurbitaceae,,,yes,yes,Sicyos angulatus L.,Sicyos angulatus,L.,Cucurbitaceae,Sicyos,Cucurbitaceae,Sicyos,Accepted,Sicyos angulatus,Sicyos angulatus L.,Sicyos_angulatus,Sicyos_angulatus,Angiosperms
Silene gallica,Silene,Caryophyllaceae,,,yes,yes,Silene gallica L.,Silene gallica,L.,Caryophyllaceae,Silene,Caryophyllaceae,Silene,Accepted,Silene gallica,Silene gallica L.,Silene_gallica,Silene_gallica,Angiosperms
Solanum carolinense,Solanum,Solanaceae,,,yes,yes,Solanum carolinense L.,Solanum carolinense,L.,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum carolinense,Solanum carolinense L.,Solanum_carolinense,Solanum_carolinense,Angiosperms
Solidago altissima,Solidago,Asteraceae,,,yes,yes,Solidago altissima L.,Solidago altissima,L.,Asteraceae,Solidago,Compositae,Solidago,Accepted,Solidago altissima,Solidago altissima L.,Solidago_altissima,Solidago_altissima,Angiosperms
Solidago gigantea,Solidago,Asteraceae,,,yes,yes,Solidago gigantea Aiton,Solidago gigantea,Aiton,Asteraceae,Solidago,Compositae,Solidago,Accepted,Solidago gigantea,Solidago gigantea Aiton,Solidago_gigantea,Solidago_gigantea,Angiosperms
Symphyotrichum novae-angliae,Symphyotrichum,Asteraceae,,,yes,yes,Symphyotrichum novae-angliae (L.) G.L.Nesom,Symphyotrichum novae-angliae,(L.) G.L.Nesom,Asteraceae,Symphyotrichum,Compositae,Symphyotrichum,Accepted,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae (L.) G.L.Nesom,Symphyotrichum_novae-angliae,Symphyotrichum_novae-angliae,Angiosperms
Symphyotrichum novi-belgii,Symphyotrichum,Asteraceae,,,yes,yes,Symphyotrichum novi-belgii (L.) G.L.Nesom,Symphyotrichum novi-belgii,(L.) G.L.Nesom,Asteraceae,Symphyotrichum,Compositae,Symphyotrichum,Accepted,Symphyotrichum novi-belgii,Symphyotrichum novi-belgii (L.) G.L.Nesom,Symphyotrichum_novi-belgii,Symphyotrichum_novi-belgii,Angiosperms
Syzygium jambos,Syzygium,Myrtaceae,,,yes,yes,Syzygium jambos (L.) Alston,Syzygium jambos,(L.) Alston,Myrtaceae,Syzygium,Myrtaceae,Syzygium,Accepted,Syzygium jambos,Syzygium jambos (L.) Alston,Syzygium_jambos,Syzygium_jambos,Angiosperms
Taraxacum croceum,Taraxacum,Asteraceae,,,yes,yes,Taraxacum croceum Dahlst.,Taraxacum croceum,Dahlst.,Asteraceae,Taraxacum,Compositae,Taraxacum,Accepted,Taraxacum croceum,Taraxacum croceum Dahlst.,Taraxacum_croceum,Taraxacum_croceum,Angiosperms
Tetrapanax papyrifer,Tetrapanax,Araliaceae,,,yes,yes,Tetrapanax papyrifer (Hook.) K.Koch,Tetrapanax papyrifer,(Hook.) K.Koch,Araliaceae,Tetrapanax,Araliaceae,Tetrapanax,Accepted,Tetrapanax papyrifer,Tetrapanax papyrifer (Hook.) K.Koch,Tetrapanax_papyrifer,Tetrapanax_papyrifer,Angiosperms
Tradescantia fluminensis,Tradescantia,Commelinaceae,,,yes,yes,Tradescantia fluminensis Vell.,Tradescantia fluminensis,Vell.,Commelinaceae,Tradescantia,Commelinaceae,Tradescantia,Accepted,Tradescantia fluminensis,Tradescantia fluminensis Vell.,Tradescantia_fluminensis,Tradescantia_fluminensis,Angiosperms
Triodanis perfoliata,Triodanis,Campanulaceae,,,yes,yes,Triodanis perfoliata (L.) Nieuwl.,Triodanis perfoliata,(L.) Nieuwl.,Campanulaceae,Triodanis,Campanulaceae,Triodanis,Accepted,Triodanis perfoliata,Triodanis perfoliata (L.) Nieuwl.,Triodanis_perfoliata,Triodanis_perfoliata,Angiosperms
Tripidium arundinaceum,Tripidium,Poaceae,,,yes,yes,"Tripidium arundinaceum (Retz.) Welker, Voronts. & E.A.Kellogg",Tripidium arundinaceum,"(Retz.) Welker, Voronts. & E.A.Kellogg",Poaceae,Tripidium,NA,NA,NA,Tripidium arundinaceum,Tripidium arundinaceum,Tripidium_arundinaceum,Tripidium_arundinaceum,Angiosperms
Tripleurospermum inodorum,Tripleurospermum,Asteraceae,,,yes,yes,Tripleurospermum inodorum (L.) Sch.-Bip,Tripleurospermum inodorum,(L.) Sch.-Bip,Asteraceae,Tripleurospermum,Compositae,Tripleurospermum,Accepted,Tripleurospermum inodorum,Tripleurospermum inodorum (L.) Sch.Bip.,Tripleurospermum_inodorum,Tripleurospermum_inodorum,Angiosperms
Utricularia gibba,Utricularia,Lentibulariaceae,,,yes,yes,Utricularia gibba L.,Utricularia gibba,L.,Lentibulariaceae,Utricularia,Lentibulariaceae,Utricularia,Accepted,Utricularia gibba,Utricularia gibba L.,Utricularia_gibba,Utricularia_gibba,Angiosperms
Utricularia inflata,Utricularia,Lentibulariaceae,Utricularia breviscapa,,yes,yes,Utricularia inflata Walter,Utricularia inflata,Walter,Lentibulariaceae,Utricularia,Lentibulariaceae,Utricularia,Accepted,Utricularia breviscapa,Utricularia breviscapa C.Wright ex Griseb.,Utricularia_breviscapa,Utricularia_inflata,Angiosperms
Vallisneria nana,Vallisneria,Hydrocharitaceae,,,yes,yes,Vallisneria nana R.Br.,Vallisneria nana,R.Br.,Hydrocharitaceae,Vallisneria,Hydrocharitaceae,Vallisneria,Accepted,Vallisneria nana,Vallisneria nana R.Br.,Vallisneria_nana,Vallisneria_nana,Angiosperms
Verbascum blattaria,Verbascum,Scrophulariaceae,,,yes,yes,Verbascum blattaria L.,Verbascum blattaria,L.,Scrophulariaceae,Verbascum,Scrophulariaceae,Verbascum,Accepted,Verbascum blattaria,Verbascum blattaria L.,Verbascum_blattaria,Verbascum_blattaria,Angiosperms
Verbascum thapsus,Verbascum,Scrophulariaceae,,,yes,yes,Verbascum thapsus L.,Verbascum thapsus,L.,Scrophulariaceae,Verbascum,Scrophulariaceae,Verbascum,Accepted,Verbascum thapsus,Verbascum thapsus L.,Verbascum_thapsus,Verbascum_thapsus,Angiosperms
Verbena bonariensis,Verbena,Verbenaceae,,,yes,yes,Verbena bonariensis L.,Verbena bonariensis,L.,Verbenaceae,Verbena,Verbenaceae,Verbena,Accepted,Verbena bonariensis,Verbena bonariensis L.,Verbena_bonariensis,Verbena_bonariensis,Angiosperms
Verbena incompta,Verbena,Verbenaceae,,,yes,yes,Verbena incompta P.W.Michael,Verbena incompta,P.W.Michael,Verbenaceae,Verbena,Verbenaceae,Verbena,Accepted,Verbena incompta,Verbena incompta P.W.Michael,Verbena_incompta,Verbena_incompta,Angiosperms
Verbena litoralis,Verbena,Verbenaceae,,,yes,yes,Verbena litoralis Kunth,Verbena litoralis,Kunth,Verbenaceae,Verbena,Verbenaceae,Verbena,Accepted,Verbena litoralis,Verbena litoralis Kunth,Verbena_litoralis,Verbena_litoralis,Angiosperms
Verbesina alternifolia,Verbesina,Asteraceae,,,yes,yes,Verbesina alternifolia (L.) Britton ex Kearney,Verbesina alternifolia,(L.) Britton ex Kearney,Asteraceae,Verbesina,Compositae,Verbesina,Accepted,Verbesina alternifolia,Verbesina alternifolia (L.) Britton ex Kearney,Verbesina_alternifolia,Verbesina_alternifolia,Angiosperms
Veronica anagallis-aquatica,Veronica,Plantaginaceae,,,yes,yes,Veronica anagallis-aquatica L.,Veronica anagallis-aquatica,L.,Plantaginaceae,Veronica,Plantaginaceae,Veronica,Accepted,Veronica anagallis-aquatica,Veronica anagallis-aquatica L.,Veronica_anagallis-aquatica,Veronica_anagallis-aquatica,Angiosperms
Vinca major,Vinca,Apocynaceae,,,yes,yes,Vinca major L.,Vinca major,L.,Apocynaceae,Vinca,Apocynaceae,Vinca,Accepted,Vinca major,Vinca major L.,Vinca_major,Vinca_major,Angiosperms
Wolffia arrhiza,Wolffia,Araceae,,,yes,yes,Wolffia arrhiza (L.) Horkel ex Wimm.,Wolffia arrhiza,(L.) Horkel ex Wimm.,Araceae,Wolffia,Araceae,Wolffia,Accepted,Wolffia arrhiza,Wolffia arrhiza (L.) Horkel ex Wimm.,Wolffia_arrhiza,Wolffia_arrhiza,Angiosperms
Yucca gloriosa,Yucca,Asparagaceae,,,yes,yes,Yucca gloriosa L.,Yucca gloriosa,L.,Asparagaceae,Yucca,Asparagaceae,Yucca,Accepted,Yucca gloriosa,Yucca gloriosa L.,Yucca_gloriosa,Yucca_gloriosa,Angiosperms
Rhaponticum repens,Rhaponticum,Asteraceae,,,no,no,Rhaponticum repens (L.) Hidalgo,Rhaponticum repens,(L.) Hidalgo,Asteraceae,Rhaponticum,Compositae,Rhaponticum,Accepted,Rhaponticum repens,Rhaponticum repens (L.) Hidalgo,Rhaponticum_repens,Rhaponticum_repens,Angiosperms
Arrhenatherum elatius,Arrhenatherum,Poaceae,,,no,yes,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,Arrhenatherum elatius,(L.) P.Beauv. ex J.Presl & C.Presl,Poaceae,Arrhenatherum,Poaceae,Arrhenatherum,Accepted,Arrhenatherum elatius,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl.,Arrhenatherum_elatius,Arrhenatherum_elatius,Angiosperms
Lolium perenne,Lolium,Poaceae,,,no,yes,Lolium perenne L.,Lolium perenne,L.,Poaceae,Lolium,Poaceae,Lolium,Accepted,Lolium perenne,Lolium perenne L.,Lolium_perenne,Lolium_perenne,Angiosperms
Oxybasis glauca,Oxybasis,Amaranthaceae,,,no,yes,"Oxybasis glauca (L.) S.Fuentes, Uotila & Borsch",Oxybasis glauca,"(L.) S.Fuentes, Uotila & Borsch",Amaranthaceae,Oxybasis,NA,NA,NA,Oxybasis glauca,Oxybasis glauca,Oxybasis_glauca,Oxybasis_glauca,Angiosperms
Achyranthes japonica,Achyranthes,Amaranthaceae,Achyranthes bidentata,,yes,yes,Achyranthes japonica (Miq.) Nakai,Achyranthes japonica,(Miq.) Nakai,Amaranthaceae,Achyranthes,Amaranthaceae,Achyranthes,Accepted,Achyranthes bidentata,Achyranthes bidentata Blume,Achyranthes_bidentata,Achyranthes_japonica,Angiosperms
Morus australis,Morus,Moraceae,,,yes,yes,Morus australis Poir.,Morus australis,Poir.,Moraceae,Morus,Moraceae,Morus,Accepted,Morus australis,Morus australis Poir.,Morus_australis,Morus_australis,Angiosperms
Pinus thunbergii,Pinus,Pinaceae,,,yes,yes,Pinus thunbergii Parl.,Pinus thunbergii,Parl.,Pinaceae,Pinus,Pinaceae,Pinus,Accepted,Pinus thunbergii,Pinus thunbergii Parl.,Pinus_thunbergii,Pinus_thunbergii,Gymnosperms
Adonis aestivalis,Adonis,Ranunculaceae,,,yes,yes,Adonis aestivalis L.,Adonis aestivalis,L.,Ranunculaceae,Adonis,Ranunculaceae,Adonis,Accepted,Adonis aestivalis,Adonis aestivalis L.,Adonis_aestivalis,Adonis_aestivalis,Angiosperms
Artemisia annua,Artemisia,Asteraceae,,,yes,yes,Artemisia annua L.,Artemisia annua,L.,Asteraceae,Artemisia,Compositae,Artemisia,Accepted,Artemisia annua,Artemisia annua L.,Artemisia_annua,Artemisia_annua,Angiosperms
Axyris amaranthoides,Axyris,Amaranthaceae,,,yes,yes,Axyris amaranthoides L.,Axyris amaranthoides,L.,Amaranthaceae,Axyris,Amaranthaceae,Axyris,Accepted,Axyris amaranthoides,Axyris amaranthoides L.,Axyris_amaranthoides,Axyris_amaranthoides,Angiosperms
Brassica rapa,Brassica,Brassicaceae,,,yes,yes,Brassica rapa L.,Brassica rapa,L.,Brassicaceae,Brassica,Brassicaceae,Brassica,Accepted,Brassica rapa,Brassica rapa L.,Brassica_rapa,Brassica_rapa,Angiosperms
Capsella bursa-pastoris,Capsella,Brassicaceae,,,yes,yes,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,(L.) Medik.,Brassicaceae,Capsella,Brassicaceae,Capsella,Accepted,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,Capsella_bursa-pastoris,Capsella_bursa-pastoris,Angiosperms
Centaurea benedicta,Centaurea,Asteraceae,,,yes,yes,Centaurea benedicta (L.) L.,Centaurea benedicta,(L.) L.,Asteraceae,Centaurea,Compositae,Centaurea,Accepted,Centaurea benedicta,Centaurea benedicta (L.) L.,Centaurea_benedicta,Centaurea_benedicta,Angiosperms
Centaurea iberica,Centaurea,Asteraceae,,,yes,yes,Centaurea iberica Trevis. ex Spreng.,Centaurea iberica,Trevis. ex Spreng.,Asteraceae,Centaurea,Compositae,Centaurea,Accepted,Centaurea iberica,Centaurea iberica Trevir. ex Spreng.,Centaurea_iberica,Centaurea_iberica,Angiosperms
Cerastium nemorale,Cerastium,Caryophyllaceae,,,yes,yes,Cerastium nemorale M.Bieb.,Cerastium nemorale,M.Bieb.,Caryophyllaceae,Cerastium,Caryophyllaceae,Cerastium,Accepted,Cerastium nemorale,Cerastium nemorale M.Bieb.,Cerastium_nemorale,Cerastium_nemorale,Angiosperms
Cucumis melo,Cucumis,Cucurbitaceae,,,yes,yes,Cucumis melo L.,Cucumis melo,L.,Cucurbitaceae,Cucumis,Cucurbitaceae,Cucumis,Accepted,Cucumis melo,Cucumis melo L.,Cucumis_melo,Cucumis_melo,Angiosperms
Echinochloa oryzoides,Echinochloa,Poaceae,,,yes,yes,Echinochloa oryzoides (Ard.) Fritsch,Echinochloa oryzoides,(Ard.) Fritsch,Poaceae,Echinochloa,Poaceae,Echinochloa,Accepted,Echinochloa oryzoides,Echinochloa oryzoides (Ard.) Fritsch,Echinochloa_oryzoides,Echinochloa_oryzoides,Angiosperms
Eruca vesicaria,Eruca,Brassicaceae,,,yes,yes,Eruca vesicaria (L.) Cav.,Eruca vesicaria,(L.) Cav.,Brassicaceae,Eruca,Brassicaceae,Eruca,Accepted,Eruca vesicaria,Eruca vesicaria (L.) Cav.,Eruca_vesicaria,Eruca_vesicaria,Angiosperms
Euclidium syriacum,Euclidium,Brassicaceae,,,yes,yes,Euclidium syriacum (L.) W.T.Aiton,Euclidium syriacum,(L.) W.T.Aiton,Brassicaceae,Euclidium,Brassicaceae,Euclidium,Accepted,Euclidium syriacum,Euclidium syriacum (L.) R.Br.,Euclidium_syriacum,Euclidium_syriacum,Angiosperms
Fagopyrum tataricum,Fagopyrum,Polygonaceae,,,yes,yes,Fagopyrum tataricum (L.) Gaertn.,Fagopyrum tataricum,(L.) Gaertn.,Polygonaceae,Fagopyrum,Polygonaceae,Fagopyrum,Accepted,Fagopyrum tataricum,Fagopyrum tataricum (L.) Gaertn.,Fagopyrum_tataricum,Fagopyrum_tataricum,Angiosperms
Kickxia elatine,Kickxia,Plantaginaceae,,,yes,yes,Kickxia elatine (L.) Dumort.,Kickxia elatine,(L.) Dumort.,Plantaginaceae,Kickxia,Plantaginaceae,Kickxia,Accepted,Kickxia elatine,Kickxia elatine (L.) Dumort.,Kickxia_elatine,Kickxia_elatine,Angiosperms
Lycopsis arvensis,Lycopsis,Boraginaceae,Anchusa arvensis,Anchusa,yes,yes,Lycopsis arvensis L.,Lycopsis arvensis,L.,Boraginaceae,Lycopsis,Boraginaceae,Anchusa,Accepted,Anchusa arvensis,Anchusa arvensis (L.) M.Bieb.,Anchusa_arvensis,Lycopsis_arvensis,Angiosperms
Lysimachia arvensis,Lysimachia,Primulaceae,,,yes,yes,Lysimachia arvensis (L.) U.Manns & Anderb.,Lysimachia arvensis,(L.) U.Manns & Anderb.,Primulaceae,Lysimachia,Primulaceae,Lysimachia,Unresolved,Lysimachia arvensis,Lysimachia arvensis (L.) U.Manns & Anderb.,Lysimachia_arvensis,Lysimachia_arvensis,Angiosperms
Lysimachia foemina,Lysimachia,Primulaceae,,,yes,yes,Lysimachia foemina (Mill.) U.Manns & Anderb.,Lysimachia foemina,(Mill.) U.Manns & Anderb.,Primulaceae,Lysimachia,Primulaceae,Lysimachia,Unresolved,Lysimachia foemina,Lysimachia foemina (Mill.) U.Manns & Anderb.,Lysimachia_foemina,Lysimachia_foemina,Angiosperms
Orobanche cumana,Orobanche,Orobanchaceae,Orobanche cernua,,yes,yes,Orobanche cumana Wallr.,Orobanche cumana,Wallr.,Orobanchaceae,Orobanche,Orobanchaceae,Orobanche,Accepted,Orobanche cernua,Orobanche cernua Loefl.,Orobanche_cernua,Orobanche_cumana,Angiosperms
Phelipanche aegyptiaca,Phelipanche,Orobanchaceae,Orobanche aegyptiaca,Orobanche,yes,yes,Phelipanche aegyptiaca (Pers.) Pomel,Phelipanche aegyptiaca,(Pers.) Pomel,Orobanchaceae,Phelipanche,Orobanchaceae,Orobanche,Accepted,Orobanche aegyptiaca,Orobanche aegyptiaca Pers.,Orobanche_aegyptiaca,Phelipanche_aegyptiaca,Angiosperms
Sinapis arvensis,Sinapis,Brassicaceae,,,yes,yes,Sinapis arvensis L.,Sinapis arvensis,L.,Brassicaceae,Sinapis,Brassicaceae,Sinapis,Accepted,Sinapis arvensis,Sinapis arvensis L.,Sinapis_arvensis,Sinapis_arvensis,Angiosperms
Stizolophus balsamita,Stizolophus,Asteraceae,,,yes,yes,Stizolophus balsamita (Lam.) Cass.,Stizolophus balsamita,(Lam.) Cass.,Asteraceae,Stizolophus,Compositae,Stizolophus,Accepted,Stizolophus balsamita,Stizolophus balsamita (Lam.) K.Koch,Stizolophus_balsamita,Stizolophus_balsamita,Angiosperms
Strigosella africana,Strigosella,Brassicaceae,Malcolmia africana,Malcolmia,yes,yes,Strigosella africana (L.) Botsch.,Strigosella africana,(L.) Botsch.,Brassicaceae,Strigosella,Brassicaceae,Malcolmia,Accepted,Malcolmia africana,Malcolmia africana (L.) R.Br.,Malcolmia_africana,Strigosella_africana,Angiosperms
Xeranthemum annuum,Xeranthemum,Asteraceae,,,yes,yes,Xeranthemum annuum L.,Xeranthemum annuum,L.,Asteraceae,Xeranthemum,Compositae,Xeranthemum,Accepted,Xeranthemum annuum,Xeranthemum annuum L.,Xeranthemum_annuum,Xeranthemum_annuum,Angiosperms
Paspalum vaginatum,Paspalum,Poaceae,,,yes,yes,Paspalum vaginatum Sw.,Paspalum vaginatum,Sw.,Poaceae,Paspalum,Poaceae,Paspalum,Accepted,Paspalum vaginatum,Paspalum vaginatum Sw.,Paspalum_vaginatum,Paspalum_vaginatum,Angiosperms
Cassytha filiformis,Cassytha,Lauraceae,,,yes,yes,Cassytha filiformis L.,Cassytha filiformis,L.,Lauraceae,Cassytha,Lauraceae,Cassytha,Accepted,Cassytha filiformis,Cassytha filiformis L.,Cassytha_filiformis,Cassytha_filiformis,Angiosperms
Colubrina asiatica,Colubrina,Rhamnaceae,,,yes,yes,Colubrina asiatica (L.) Brongn.,Colubrina asiatica,(L.) Brongn.,Rhamnaceae,Colubrina,Rhamnaceae,Colubrina,Accepted,Colubrina asiatica,Colubrina asiatica (L.) Brongn.,Colubrina_asiatica,Colubrina_asiatica,Angiosperms
Cyanthillium cinereum,Cyanthillium,Asteraceae,,,yes,yes,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium cinereum,(L.) H.Rob.,Asteraceae,Cyanthillium,Compositae,Cyanthillium,Accepted,Cyanthillium cinereum,Cyanthillium cinereum (L.) H.Rob.,Cyanthillium_cinereum,Cyanthillium_cinereum,Angiosperms
Dactyloctenium aegyptium,Dactyloctenium,Poaceae,,,yes,yes,Dactyloctenium aegyptium (L.) Willd.,Dactyloctenium aegyptium,(L.) Willd.,Poaceae,Dactyloctenium,Poaceae,Dactyloctenium,Accepted,Dactyloctenium aegyptium,Dactyloctenium aegyptium (L.) Willd.,Dactyloctenium_aegyptium,Dactyloctenium_aegyptium,Angiosperms
Dichrostachys cinerea,Dichrostachys,Fabaceae,,,yes,yes,Dichrostachys cinerea (L.) Wight & Arn.,Dichrostachys cinerea,(L.) Wight & Arn.,Fabaceae,Dichrostachys,Leguminosae,Dichrostachys,Accepted,Dichrostachys cinerea,Dichrostachys cinerea (L.) Wight & Arn.,Dichrostachys_cinerea,Dichrostachys_cinerea,Angiosperms
Dioscorea alata,Dioscorea,Dioscoreaceae,,,yes,yes,Dioscorea alata L.,Dioscorea alata,L.,Dioscoreaceae,Dioscorea,Dioscoreaceae,Dioscorea,Accepted,Dioscorea alata,Dioscorea alata L.,Dioscorea_alata,Dioscorea_alata,Angiosperms
Dioscorea bulbifera,Dioscorea,Dioscoreaceae,,,yes,yes,Dioscorea bulbifera L.,Dioscorea bulbifera,L.,Dioscoreaceae,Dioscorea,Dioscoreaceae,Dioscorea,Accepted,Dioscorea bulbifera,Dioscorea bulbifera L.,Dioscorea_bulbifera,Dioscorea_bulbifera,Angiosperms
Gloriosa superba,Gloriosa,Colchicaceae,,,yes,yes,Gloriosa superba L.,Gloriosa superba,L.,Colchicaceae,Gloriosa,Colchicaceae,Gloriosa,Accepted,Gloriosa superba,Gloriosa superba L.,Gloriosa_superba,Gloriosa_superba,Angiosperms
Neustanthus phaseoloides,Neustanthus,Fabaceae,Pueraria phaseoloides,Pueraria,yes,yes,Neustanthus phaseoloides (Roxb.) Benth.,Neustanthus phaseoloides,(Roxb.) Benth.,Fabaceae,Neustanthus,Leguminosae,Pueraria,Accepted,Pueraria phaseoloides,Pueraria phaseoloides (Roxb.) Benth.,Pueraria_phaseoloides,Neustanthus_phaseoloides,Angiosperms
Sesbania sericea,Sesbania,Fabaceae,,,yes,yes,Sesbania sericea (Willd.) Link,Sesbania sericea,(Willd.) Link,Fabaceae,Sesbania,Leguminosae,Sesbania,Accepted,Sesbania sericea,Sesbania sericea (Willd.) Link,Sesbania_sericea,Sesbania_sericea,Angiosperms
Triphasia trifolia,Triphasia,Rutaceae,,,yes,yes,Triphasia trifolia (Burm.fil.) P.Wilson,Triphasia trifolia,(Burm.fil.) P.Wilson,Rutaceae,Triphasia,Rutaceae,Triphasia,Accepted,Triphasia trifolia,Triphasia trifolia (Burm.f.) P.Wilson,Triphasia_trifolia,Triphasia_trifolia,Angiosperms
Wollastonia biflora,Wollastonia,Asteraceae,,,yes,yes,Wollastonia biflora (L.) DC.,Wollastonia biflora,(L.) DC.,Asteraceae,Wollastonia,Compositae,Wollastonia,Accepted,Wollastonia biflora,Wollastonia biflora (L.) DC.,Wollastonia_biflora,Wollastonia_biflora,Angiosperms
Cardamine flexuosa,Cardamine,Brassicaceae,,,yes,yes,Cardamine flexuosa With.,Cardamine flexuosa,With.,Brassicaceae,Cardamine,Brassicaceae,Cardamine,Accepted,Cardamine flexuosa,Cardamine flexuosa With.,Cardamine_flexuosa,Cardamine_flexuosa,Angiosperms
Chromolaena corymbosa,Chromolaena,Asteraceae,,,yes,yes,Chromolaena corymbosa (Aubl.) R.King & H.Rob.,Chromolaena corymbosa,(Aubl.) R.King & H.Rob.,Asteraceae,Chromolaena,Compositae,Chromolaena,Accepted,Chromolaena corymbosa,Chromolaena corymbosa (Aubl.) R.M.King & H.Rob.,Chromolaena_corymbosa,Chromolaena_corymbosa,Angiosperms
Commelina benghalensis,Commelina,Commelinaceae,,,yes,yes,Commelina benghalensis L.,Commelina benghalensis,L.,Commelinaceae,Commelina,Commelinaceae,Commelina,Accepted,Commelina benghalensis,Commelina benghalensis L.,Commelina_benghalensis,Commelina_benghalensis,Angiosperms
Dendrocalamus strictus,Dendrocalamus,Poaceae,,,yes,yes,Dendrocalamus strictus (Roxb.) Nees,Dendrocalamus strictus,(Roxb.) Nees,Poaceae,Dendrocalamus,Poaceae,Dendrocalamus,Accepted,Dendrocalamus strictus,Dendrocalamus strictus (Roxb.) Nees,Dendrocalamus_strictus,Dendrocalamus_strictus,Angiosperms
Eleusine indica,Eleusine,Poaceae,,,yes,yes,Eleusine indica (L.) Gaertn.,Eleusine indica,(L.) Gaertn.,Poaceae,Eleusine,Poaceae,Eleusine,Accepted,Eleusine indica,Eleusine indica (L.) Gaertn.,Eleusine_indica,Eleusine_indica,Angiosperms
Leersia hexandra,Leersia,Poaceae,,,yes,yes,Leersia hexandra Sw.,Leersia hexandra,Sw.,Poaceae,Leersia,Poaceae,Leersia,Accepted,Leersia hexandra,Leersia hexandra Sw.,Leersia_hexandra,Leersia_hexandra,Angiosperms
Saccharum spontaneum,Saccharum,Poaceae,,,yes,yes,Saccharum spontaneum L.,Saccharum spontaneum,L.,Poaceae,Saccharum,Poaceae,Saccharum,Accepted,Saccharum spontaneum,Saccharum spontaneum L.,Saccharum_spontaneum,Saccharum_spontaneum,Angiosperms
Samanea saman,Samanea,Fabaceae,Albizia saman,Albizia,yes,yes,Samanea saman (Jacq.) Merr.,Samanea saman,(Jacq.) Merr.,Fabaceae,Samanea,Leguminosae,Albizia,Accepted,Albizia saman,Albizia saman (Jacq.) Merr.,Albizia_saman,Samanea_saman,Angiosperms
Scurrula parasitica,Scurrula,Loranthaceae,,,yes,yes,Scurrula parasitica L.,Scurrula parasitica,L.,Loranthaceae,Scurrula,Loranthaceae,Scurrula,Accepted,Scurrula parasitica,Scurrula parasitica L.,Scurrula_parasitica,Scurrula_parasitica,Angiosperms
Scurrula pulverulenta,Scurrula,Loranthaceae,,,yes,yes,Scurrula pulverulenta (Wall.) G.Don,Scurrula pulverulenta,(Wall.) G.Don,Loranthaceae,Scurrula,Loranthaceae,Scurrula,Accepted,Scurrula pulverulenta,Scurrula pulverulenta (Wall.) G. Don,Scurrula_pulverulenta,Scurrula_pulverulenta,Angiosperms
Sesuvium portulacastrum,Sesuvium,Aizoaceae,,,yes,yes,Sesuvium portulacastrum (L.) L.,Sesuvium portulacastrum,(L.) L.,Aizoaceae,Sesuvium,Aizoaceae,Sesuvium,Accepted,Sesuvium portulacastrum,Sesuvium portulacastrum (L.) L.,Sesuvium_portulacastrum,Sesuvium_portulacastrum,Angiosperms
Asphodelus tenuifolius,Asphodelus,Asphodelaceae,,,yes,yes,Asphodelus tenuifolius Cav.,Asphodelus tenuifolius,Cav.,Asphodelaceae,Asphodelus,Xanthorrhoeaceae,Asphodelus,Accepted,Asphodelus tenuifolius,Asphodelus tenuifolius Cav.,Asphodelus_tenuifolius,Asphodelus_tenuifolius,Angiosperms
Corymbia citriodora,Corymbia,Myrtaceae,,,yes,yes,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora,(Hook.) K.D.Hill & L.A.S.Johnson,Myrtaceae,Corymbia,Myrtaceae,Corymbia,Accepted,Corymbia citriodora,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia_citriodora,Corymbia_citriodora,Angiosperms
Galium aparine,Galium,Rubiaceae,,,yes,yes,Galium aparine L.,Galium aparine,L.,Rubiaceae,Galium,Rubiaceae,Galium,Accepted,Galium aparine,Galium aparine L.,Galium_aparine,Galium_aparine,Angiosperms
Mazus pumilus,Mazus,Mazaceae,,,yes,yes,Mazus pumilus (Burm.fil.) Steenis,Mazus pumilus,(Burm.fil.) Steenis,Mazaceae,Mazus,Phrymaceae,Mazus,Accepted,Mazus pumilus,Mazus pumilus (Burm.f.) Steenis,Mazus_pumilus,Mazus_pumilus,Angiosperms
Nerium oleander,Nerium,Apocynaceae,,,yes,yes,Nerium oleander L.,Nerium oleander,L.,Apocynaceae,Nerium,Apocynaceae,Nerium,Accepted,Nerium oleander,Nerium oleander L.,Nerium_oleander,Nerium_oleander,Angiosperms
Rumex spinosus,Rumex,Polygonaceae,Emex spinosa,Emex,yes,yes,Rumex spinosus L.,Rumex spinosus,L.,Polygonaceae,Rumex,Polygonaceae,Emex,Accepted,Emex spinosa,Emex spinosa (L.) Campd.,Emex_spinosa,Rumex_spinosus,Angiosperms
